keys,en,zh_CN
STORE_GEMS_M,550 Gems,550 钻石
STORE_GEMS_L,1200 Gems,1200 钻石
STORE_PACK_STARTER,Cloud Starter Pack,云时代启程礼包
STORE_PACK_BUILDER,Builder Pack,建设者礼包
STORE_PACK_TYCOON,Tycoon Pack,大亨礼包
ACH_FIRST_CONTRACT,First Client,首位客户
ACH_FIVE_DC,Growing Park,初具规模
ACH_TWENTY_DC,Industry Player,行业新贵
ACH_REPAIR_TEN,Always On,永不宕机
ACH_RETIRE_FIVE,Planned Renewal,更新换代
ACH_ERA_TWO,Into the Cloud,迈入云端
ACH_ERA_THREE,AI Infrastructure,AI 基建
ACH_PRESTIGE,Public Company,成功上市
ACH_ARREARS,Cash-flow Survivor,绝处逢生
TUTORIAL_WELCOME,Welcome! Build your first container data center on the empty plot.,欢迎！先在空地上建造第一座集装箱机房。
TUTORIAL_POWER,Tap Power to install a transformer and light up the Container Data Center.,点击下方供电区安装变压器，点亮集装箱机房。
TUTORIAL_FIRST_RACK,Install a compute rack in the first slot.,在第一个机位安装计算机柜。
TUTORIAL_CONTRACT,Sign an internet-company contract to start earning.,签下互联网厂商合约，开始赚钱。
TUTORIAL_COOLING,Install air cooling before adding more heat.,继续上架前，先安装风冷设备。
TUTORIAL_BUY_LAND,Expansion starts with land. Buy the next plot.,扩张从土地开始，购买下一块地。
TUTORIAL_RETIRE,This building has aged. Retire it before it becomes a ruin.,机房已经老化，在报废前主动退役。
TUTORIAL_STANDARD,Build a standard data center to complete the basics.,建造标准机房，完成基础教学。
TUTORIAL_OPEN_DC_PREFIX,Tap the data center — %s,点开机房——%s
TUTORIAL_BUILDING_WAIT,Building · %s left. Install the transformer when it is ready.,施工中 · 剩 %s。建成后安装变压器。
TUTORIAL_RETIRE_WAIT,The container data center is still healthy. Its final lesson unlocks when aging begins.,集装箱机房还很新。等它进入老化期，再回来上最后一课。
TUTORIAL_RETIRE_READY,The data center is aging. Tap it to learn how to retire it.,机房已进入老化期。点开它，学习如何主动退役。
TOAST_CONSTRUCTION_STARTED,Construction started,建设已开始
TOAST_CONSTRUCTION_COMPLETE,Construction complete,建设完成
TOAST_PURCHASE_COMPLETE,Purchase complete,购买成功
TOAST_PURCHASE_FAILED,Purchase could not be completed,购买未完成
TOAST_REPAIR_STARTED,Repair crew dispatched,维修队已出发
TOAST_REPAIR_COMPLETE,Repair complete,维修完成
TOAST_CONTRACT_SIGNED,Contract signed,合约已签订
TOAST_ERA_UNLOCKED,A new era has begun!,新时代已经来临！
TOAST_ACHIEVEMENT,Achievement unlocked: %s,成就达成：%s
TOAST_TIME_ROLLBACK,Device time moved backward. Simulation is paused until time catches up.,检测到设备时间回拨，游戏时钟将冻结至追平。
REASON_QUEUE_FULL,Construction queue is full,建设队列已满
REASON_RACK_INSTALL_LIMIT,Two racks are already being installed in this data center,该机房已有两台机柜正在安装
REASON_IN_PROGRESS,Finish ongoing work first,请先完成正在进行的工程
REASON_NOT_UPGRADE,Choose a higher-level unit,请选择更高等级的设备
REASON_REWARD_LIMIT,Reward limit reached,已达到奖励次数上限
REASON_TICKET,No instant build tickets,没有立即完工券
REASON_ALREADY_OWNED,Already purchased,已购买
REASON_PURCHASE_PENDING,Purchase is already in progress,购买正在处理中
REASON_QUEUE_FULL_DETAIL,Queue full (%d/%d). Next slot in %s. Wait or speed up; expand Engineering in Tech.,建设队列已满（%d/%d）。最快 %s 后空位；可等待、加速或前往科技扩编工程部。
REASON_RACK_INSTALL_LIMIT_DETAIL,Two racks are already being installed here. The next slot opens in %s.,该机房已有两台机柜正在安装。最快 %s 后可以继续上架。
REASON_NOT_ENOUGH_CASH,Not enough cash. Let income accumulate or choose a lower-cost project.,现金不足。可以先积累收入，或选择成本更低的项目。
REASON_NOT_ENOUGH_GEMS,Not enough gems. Earn more or visit the store.,钻石不足。可以继续游玩获取，或前往商店补充。
REASON_LOCKED,This item has not been unlocked yet.,该项目尚未解锁。
REASON_LOCKED_ERA,Unlocks in Era %d. Keep growing revenue to advance.,时代 %d 解锁。继续提升收入即可进入下一时代。
REASON_PLOT_UNAVAILABLE,This plot is no longer available. Choose another empty plot.,这块土地当前不可用，请选择其他空地。
REASON_TUTORIAL_BUILDING_RETIRED,The starter container has completed its lesson. Choose a standard data center.,教学集装箱已经完成使命，请选择标准机房。
REASON_DATACENTER_MISSING,This data center no longer exists. Return to the park and choose another one.,这座机房已不存在，请返回园区选择其他机房。
REASON_DATACENTER_UNAVAILABLE,This data center is not ready for that operation yet.,这座机房当前无法执行该操作，请等待建设完成。
REASON_SLOT_LOCKED,This rack slot is locked. Upgrade the data center to unlock it.,该机柜位尚未解锁，请先升级机房等级。
REASON_SLOT_OCCUPIED,This rack slot is already occupied or being installed.,该机柜位已有设备或正在安装。
REASON_SLOT_EMPTY,There is no installed rack in this slot.,这个机柜位目前没有可操作的设备。
REASON_INVALID_SLOT,This rack slot is unavailable. Choose a highlighted slot.,这个机柜位不可用，请选择已点亮的位置。
REASON_INVALID_EDGE,This cooling position is unavailable. Choose a highlighted edge.,这个制冷位置不可用，请选择已点亮的边缘。
REASON_RACK_UNAVAILABLE,This rack is not ready for that operation.,这台机柜当前无法执行该操作。
REASON_TOO_NEW_TO_RETIRE,This data center is still healthy. It can be retired after aging begins.,这座机房还很健康，进入老化期后才能退役。
REASON_COOLER_SLOTS_FULL,All cooling positions are occupied. Upgrade an installed cooler instead.,制冷位已经占满，请升级已有制冷设备。
REASON_BUILDING_TIER_TOO_LOW,This device requires a higher-tier data center.,该设备需要更高等级的机房。
REASON_CONSTRUCTION_MISSING,This project has already finished or is no longer in the queue.,该工程已经完成，或已不在建设队列中。
REASON_NOT_FAULTED,This rack is operating normally and does not need repair.,这台机柜运行正常，无需维修。
REASON_NOT_RUINED,This data center is still operational and cannot be cleared as scrap.,这座机房仍在运行，不能按残料清理。
REASON_PRESTIGE_LOCKED,The company has not reached the listing requirement yet.,公司尚未达到上市重组条件。
REASON_REWARD_UNAVAILABLE,This reward is not available right now.,当前没有可领取的奖励。
REASON_PRODUCT_UNAVAILABLE,This product is not available in the current store.,该商品当前不可购买。
REASON_UNKNOWN,The operation could not be completed. Please try again.,操作未能完成，请稍后重试。
REASON_POWER_REQUIRED,Install a transformer before signing a contract.,请先安装变压器，再签订客户合约。
REASON_CONTRACT_CAPACITY_REQUIRED,Bring at least one rack online before signing. That rack supplies the capacity you sell.,请先让至少一台机柜上线再签约；机柜提供的算力才是你的收入来源。
BOARD_POWER_USAGE,Power %s / %s,供电 %s / %s
BOARD_POWER_LABEL,Power,供电
BOARD_OVERHEAT_HINT,This slot will overheat,此位置会过热
BOARD_NEED_POWER,Upgrade the transformer first,需要先升级变压器
BOARD_INSTALL_POWER,Install a transformer first,先安装变压器
BOARD_UPGRADE_POWER,Upgrade the transformer first,需要先升级变压器
BOARD_PLACE_OK,Cooling and power are sufficient,制冷与供电充足
BOARD_PLACE_SET,Completes a rack set · +10%,组成同类机柜组 · +10%
RACK_SET_BONUS,Rack set +10%,成组加成 +10%
RACK_SET_BONUS_CONTRIBUTION,Set contribution +10% income,成组贡献 +10% 收入
RACK_TRAIT_STABLE,Stable returns,收益稳定
RACK_TRAIT_BALANCED,Balanced exposure,均衡收益
RACK_TRAIT_VOLATILE,Moves with the market,随行情波动
RACK_STAT_POWER,Power,耗电
RACK_STAT_HEAT,Heat,发热
RACK_STAT_OUTPUT,Base output,基础产出
MONTH_SHORT,mo,月
STAT_CAPACITY,Capacity,容量
STAT_COOLING_OUTPUT,Cooling,制冷
STAT_COVERAGE,covers %d cells,覆盖 %d 格
STAT_POWER_DRAW,Power,耗电
STAT_HEAT_OUTPUT,Heat,发热
STAT_COOLED,Cooled,受冷
ERA_LOCKED,Locked,未解锁
ERA_DONE,Done,已完成
TUTORIAL_REBUILD_SITE,Your site is gone — build a data center first.,机房不在了，先重新建一座。
TUTORIAL_INSTALL_WAIT,Installing — %s left.,安装中 · 剩 %s。
ROADMAP_FIRST_INQUIRY,First tailored deal,首次定向合作
ROADMAP_FIRST_INQUIRY_DESC,Accept one optional inquiry,接受 1 份可选询价单
INQUIRY_GPU_SURGE,Sovereign GPU reservation,主权算力预订
INQUIRY_GPU_SURGE_DESC,An AI client needs a proven four-GPU deployment.,AI 客户希望锁定一座具备 4 个 GPU 机柜的机房。
INQUIRY_CLOUD_FRAME,Full-stack cloud frame,全栈云底座
INQUIRY_CLOUD_FRAME_DESC,A cloud provider wants three rack types under one roof.,云厂商希望在同一机房部署三类机柜。
INQUIRY_MINING_RUSH,Mining capacity window,矿场算力窗口
INQUIRY_MINING_RUSH_DESC,A mining client is ready to pay for two GPU racks.,挖矿客户愿意为两个 GPU 机柜支付溢价。
INQUIRY_INTERNET_ANCHOR,Anchor hosting agreement,核心托管协议
INQUIRY_INTERNET_ANCHOR_DESC,A trusted internet client proposes a long-term partnership.,长期服务的互联网客户提出战略合作。
INQUIRY_EDGE_DELIVERY,Edge delivery expansion,边缘分发扩容
INQUIRY_EDGE_DELIVERY_DESC,An internet client needs a level-two network connection.,互联网客户需要二级网络接入能力。
INQUIRY_CLOUD_CERTIFICATION,Certified cloud campus,认证云服务园区
INQUIRY_CLOUD_CERTIFICATION_DESC,A cloud provider is looking for an active cloud specialization.,云厂商正在寻找已激活云服务定位的园区。
INQUIRY_AI_PILOT,AI pilot cluster,AI 试点集群
INQUIRY_AI_PILOT_DESC,An AI client wants a mixed two-type rack deployment.,AI 客户希望试用两类机柜组成的混合部署。
INQUIRY_STORAGE_ARCHIVE,Archive storage tranche,归档存储批次
INQUIRY_STORAGE_ARCHIVE_DESC,A cloud provider needs three storage racks for an archive project.,云厂商需要三个存储机柜承接归档项目。
INQUIRY_BOARD,Client inquiries,客户询价单
INQUIRY_BOARD_HINT,Optional offers wait for you forever · no countdown and no penalty,所有报价永久保留 · 无倒计时且拒绝无惩罚
INQUIRY_EMPTY,No open inquiry right now,当前暂无新询价
INQUIRY_TERMS,%s · Premium +%d%% · Bonus %s,%s · 溢价 +%d%% · 签约金 %s
INQUIRY_REQUIREMENT_RACK,%s %d/%d,%s %d/%d
INQUIRY_REQUIREMENT_UNIQUE,Rack types %d/%d,机柜类型 %d/%d
INQUIRY_REQUIREMENT_NETWORK,Network level %d/%d,网络等级 %d/%d
INQUIRY_REQUIREMENT_RELATIONSHIP,Relationship level %d/%d,客户关系 %d/%d
INQUIRY_REQUIREMENT_SPECIALIZATION,%s specialization %s,%s定位 %s
INQUIRY_REQUIREMENT_READY,Conditions met,条件已满足
INQUIRY_REQUIREMENT_PENDING,Conditions not met,条件尚未满足
INQUIRY_VIEW_DATACENTERS,Choose a data center,选择承接机房
INQUIRY_DECLINE,Pass for now,暂不承接
INQUIRY_ACCEPT_TITLE,Assign this inquiry,分配询价单
INQUIRY_DC_READY,%s · %s/mo · bonus %s,%s · %s/月 · 签约金 %s
INQUIRY_DC_BLOCKED,%s · %s,%s · %s
INQUIRY_ACCEPTED,Deal signed · bonus %s,合作已签订 · 签约金 %s
INQUIRY_DECLINED,Passed · this slot returns in two game months,已暂缓 · 该位置将在 2 个游戏月后补位
INQUIRY_NEW_TASK,New client inquiry,新的客户询价
INQUIRY_NEW_TASK_SUBTITLE,%d optional offer(s) waiting · never expires,%d 份可选报价待处理 · 永不过期
INQUIRY_NEW_TASK_ACTION,Review,查看
INQUIRY_OFFLINE_MILESTONE,%d new client inquiry(s) arrived,离线期间收到 %d 份新询价
REASON_INQUIRY_UNAVAILABLE,This inquiry has already been handled.,这份询价单已经处理。
REASON_INQUIRY_REQUIREMENTS,Choose a data center that meets every listed condition.,请选择满足全部条件的机房。
REASON_INQUIRY_QUOTE_STALE,The offer changed while it was open. Review the current quote and try again.,报价打开期间发生了变化，请查看最新报价后重试。
RACK_KIND_COMPUTE,Compute racks,计算机柜
RACK_KIND_STORAGE,Storage racks,存储机柜
RACK_KIND_GPU,GPU racks,GPU 机柜
DUTY_LOG_TAKEOVER_1,Bank support steadied %d room(s).,银行团队稳住了 %d 座机房。
DUTY_LOG_TAKEOVER_2,%d room(s) entered bank care.,%d 座机房已由银行接管。
DUTY_LOG_TAKEOVER_3,The bank protected %d room(s) overnight.,银行值夜时保住了 %d 座机房。
DUTY_LOG_ERA_1,Operations reached Era %d.,园区运营迈入时代 %d。
DUTY_LOG_ERA_2,The night shift welcomed Era %d.,夜班迎来了时代 %d。
DUTY_LOG_ERA_3,Era %d systems came online.,时代 %d 的系统已经上线。
DUTY_LOG_RARE_1,A rare %s shift reached the desk.,值班室记录了稀有行情：%s。
DUTY_LOG_RARE_2,%s made an unusual move overnight.,%s 在夜里出现了异动。
DUTY_LOG_RARE_3,The team flagged a rare %s window.,团队标记了稀有的%s窗口。
DUTY_LOG_INQUIRY_1,%s sent %d inquiry(s) overnight.,%s 夜间送来 %d 份询价。
DUTY_LOG_INQUIRY_2,%s left %d offer(s) for morning.,%s 留下 %d 份报价等早班。
DUTY_LOG_INQUIRY_3,%s left %d offer(s) with night desk.,夜班记下 %s 的 %d 份报价。
DUTY_LOG_FAULT_1,Crew tracked %d equipment alert(s).,值班员跟进了 %d 次设备告警。
DUTY_LOG_FAULT_2,%d alert(s) reached the night desk.,夜班收到了 %d 次设备告警。
DUTY_LOG_FAULT_3,The crew watched %d fault signal(s).,团队守住了 %d 次故障信号。
DUTY_LOG_CONTRACT_1,Night shift renewed %d contract(s).,夜班续好了 %d 份客户合约。
DUTY_LOG_CONTRACT_2,%d contract(s) rolled on smoothly.,%d 份合约已平稳续签。
DUTY_LOG_CONTRACT_3,The desk kept %d contract(s) active.,值班员维持了 %d 份合约。
DUTY_LOG_AGING_1,%d room(s) reached a new life stage.,%d 座机房进入了新寿命阶段。
DUTY_LOG_AGING_2,Crew checked %d aging room(s).,值班员巡检了 %d 座老化机房。
DUTY_LOG_AGING_3,%d room(s) received an age check.,%d 座机房完成了寿命检查。
DUTY_LOG_INCOME_1,This shift secured $%s in revenue.,本次值班确认收入 $%s。
DUTY_LOG_INCOME_2,The night ledger recorded $%s.,夜班账本记下了 $%s。
DUTY_LOG_INCOME_3,Your rooms earned $%s this shift.,机房本次值班赚得 $%s。
PERSONA_INTERNET_LIN_CE,Lin Ce,林策
PERSONA_INTERNET_TANG_MAN,Tang Man,唐满
PERSONA_INTERNET_CHEN_LU,Chen Lu,陈路
PERSONA_CLOUD_SU_QING,Su Qing,苏晴
PERSONA_CLOUD_ZHOU_YUNZHOU,Zhou Yunzhou,周云舟
PERSONA_CLOUD_XU_AN,Xu An,许安
PERSONA_GPU_GU_XING,Gu Xing,顾星
PERSONA_GPU_YE_ZHIXING,Ye Zhixing,叶知行
PERSONA_MINING_ZHOU_LAN,Zhou Lan,周岚
PERSONA_MINING_LU_SEN,Lu Sen,鲁森
PERSONA_INTERNET_INQUIRY_1,Traffic is climbing. Can you keep this route steady?,流量正涨，能帮我稳住这条线路吗？
PERSONA_INTERNET_INQUIRY_2,We need clean capacity before the next release.,下次发布前，我们需要一批稳定容量。
PERSONA_INTERNET_ACCEPT_1,Great. I will send the traffic plan now.,好，我现在把流量计划发过来。
PERSONA_INTERNET_ACCEPT_2,That gives our launch room to breathe.,这下新版本上线就有余量了。
PERSONA_INTERNET_DECLINE_1,Understood. I will keep the request open elsewhere.,明白，我再看看其他可用方案。
PERSONA_INTERNET_DECLINE_2,No pressure. We can revisit the next release window.,不着急，下个发布窗口再聊。
PERSONA_INTERNET_LEVEL_1,Your uptime reports make planning easier.,你们的稳定性让排期轻松多了。
PERSONA_INTERNET_LEVEL_2,I can trust your team with peak traffic.,峰值流量交给你们，我放心。
PERSONA_CLOUD_INQUIRY_1,We need a quiet pool for a new tenant cluster.,新租户集群需要一组安静的资源池。
PERSONA_CLOUD_INQUIRY_2,Can your mixed racks carry this migration?,这次迁移，你们的混合机柜能接住吗？
PERSONA_CLOUD_ACCEPT_1,Excellent. I will schedule the migration window.,很好，我来安排迁移窗口。
PERSONA_CLOUD_ACCEPT_2,Capacity confirmed. Our rollout can proceed.,容量确认，发布计划可以继续。
PERSONA_CLOUD_DECLINE_1,Thanks for the quick answer. We will reroute.,谢谢及时回复，我们会调整路线。
PERSONA_CLOUD_DECLINE_2,Understood. I will hold this batch for later.,明白，这一批我先留到后面。
PERSONA_CLOUD_LEVEL_1,Your handovers have become wonderfully predictable.,你们的交接越来越让人省心。
PERSONA_CLOUD_LEVEL_2,You are now on my preferred capacity list.,你们已经进了我的优先供应名单。
PERSONA_GPU_INQUIRY_1,Our next training run needs a clean GPU block.,下一轮训练需要一组完整的 GPU 容量。
PERSONA_GPU_INQUIRY_2,Can you make room for a demanding model run?,能为一次大模型训练腾出空间吗？
PERSONA_GPU_ACCEPT_1,Perfect. The training team is warming up.,正好，训练团队已经开始预热。
PERSONA_GPU_ACCEPT_2,Compute secured. I can finally sleep tonight.,算力稳了，今晚总算能睡个好觉。
PERSONA_GPU_DECLINE_1,Got it. I will shrink this experiment first.,收到，我先把实验规模收一收。
PERSONA_GPU_DECLINE_2,No worries. We will queue the model elsewhere.,没关系，我们把模型排到别处。
PERSONA_GPU_LEVEL_1,Your GPU rooms have earned our confidence.,你们的 GPU 机房赢得了信任。
PERSONA_GPU_LEVEL_2,The hardest training jobs now come to you first.,最难的训练任务以后优先找你们。
PERSONA_MINING_INQUIRY_1,I found a profitable window and need GPUs ready.,我看准了窗口，需要一批 GPU 马上就位。
PERSONA_MINING_INQUIRY_2,The numbers work if your power stays steady.,只要供电稳，这笔账就能跑通。
PERSONA_MINING_ACCEPT_1,Deal. I will send the operating schedule.,成交，我马上把运行排期发来。
PERSONA_MINING_ACCEPT_2,Good timing. Let us put those racks to work.,时机正好，让这些机柜忙起来。
PERSONA_MINING_DECLINE_1,Fair enough. I never force a bad window.,没事，窗口不合适就不勉强。
PERSONA_MINING_DECLINE_2,Understood. I will wait for the next cycle.,明白，我等下一轮周期。
PERSONA_MINING_LEVEL_1,You run a tighter floor than most operators.,你们的机房比多数同行更稳。
PERSONA_MINING_LEVEL_2,Your word is worth more than a price spike.,你们的承诺比一轮涨价更值钱。
PERSONA_LIN_CHAT_1,I check latency before I check my coffee.,我每天先看延迟，再喝咖啡。
PERSONA_LIN_CHAT_2,A calm dashboard is my favorite dashboard.,没有告警的面板最好看。
PERSONA_TANG_CHAT_1,Every smooth launch begins with spare capacity.,顺利上线，总要留一点余量。
PERSONA_TANG_CHAT_2,I brought the next traffic forecast.,我带来了下一版流量预测。
PERSONA_CHEN_CHAT_1,Edge nodes are small but never simple.,边缘节点虽小，事情可不少。
PERSONA_CHEN_CHAT_2,Your route map is looking healthy today.,今天的线路图看起来很健康。
PERSONA_SU_CHAT_1,I like migrations that nobody notices.,最好的迁移，是用户毫无察觉。
PERSONA_SU_CHAT_2,The tenant team sent their thanks.,租户团队让我替他们说声谢谢。
PERSONA_ZHOU_CHAT_1,Capacity planning is just patient gardening.,容量规划，像是在耐心种园子。
PERSONA_ZHOU_CHAT_2,I left a cleaner rollout plan on the desk.,我在桌上留了份更清爽的发布计划。
PERSONA_XU_CHAT_1,I keep three backups and one lucky pen.,我有三份备份，还有一支幸运笔。
PERSONA_XU_CHAT_2,Quiet servers make for quiet meetings.,服务器安静，会议也会安静。
PERSONA_GU_CHAT_1,The model finally stopped eating all our VRAM.,模型终于不再吃光所有显存了。
PERSONA_GU_CHAT_2,I owe your cooling team a proper dinner.,我得认真请你们冷却团队吃顿饭。
PERSONA_YE_CHAT_1,One clean run beats ten rushed experiments.,一次干净训练胜过十次匆忙实验。
PERSONA_YE_CHAT_2,The new checkpoint looks promising.,新检查点看起来很有希望。
PERSONA_ZHOU_LAN_CHAT_1,I trust meters more than rumors.,比起传闻，我更相信仪表数字。
PERSONA_ZHOU_LAN_CHAT_2,Steady power is the best kind of luck.,稳定供电才是最好的运气。
PERSONA_LU_CHAT_1,I brought tea and a fresh market sheet.,我带了茶，还有一张新行情表。
PERSONA_LU_CHAT_2,Good machines deserve a patient operator.,好机器值得耐心经营。
PERSONA_CONTACT,Contact: %s,对接人：%s
PERSONA_LEVEL_TOAST,%s now sees you as %s.,%s 现在把你当作%s。
